"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 04 05:54:51 GMT 2024","Tue Jun 04 05:54:53 GMT 2024","1287","Command line suite","Command line test","school.redrover.FooterTest","school.redrover.FooterTest","testJenkinsInformationFooter","testJenkinsInformationFooter","Check tab bar menu items on the 'About Jenkins' page"
"passed","Tue Jun 04 05:58:44 GMT 2024","Tue Jun 04 05:58:45 GMT 2024","1019","Command line suite","Command line test","school.redrover.DashboardTest","school.redrover.DashboardTest","testFolderChevronMenu","testFolderChevronMenu",""
"passed","Tue Jun 04 05:59:01 GMT 2024","Tue Jun 04 05:59:01 GMT 2024","204","Command line suite","Command line test","school.redrover.FolderTest","school.redrover.FolderTest","testAddDescription","testAddDescription",""
"passed","Tue Jun 04 06:01:32 GMT 2024","Tue Jun 04 06:01:33 GMT 2024","802","Command line suite","Command line test","school.redrover.PipelineTest","school.redrover.PipelineTest","testCreatePipeline","testCreatePipeline",""
"passed","Tue Jun 04 05:58:56 GMT 2024","Tue Jun 04 05:58:56 GMT 2024","279","Command line suite","Command line test","school.redrover.DashboardTest","school.redrover.DashboardTest","testPeopleOnSidebar","testPeopleOnSidebar",""
"passed","Tue Jun 04 06:04:27 GMT 2024","Tue Jun 04 06:04:27 GMT 2024","720","Command line suite","Command line test","school.redrover.PipelineTest","school.redrover.PipelineTest","testVerifyConfigurationPageHaveTooltips","testVerifyConfigurationPageHaveTooltips",""
"passed","Tue Jun 04 05:54:56 GMT 2024","Tue Jun 04 05:54:58 GMT 2024","1507","Command line suite","Command line test","school.redrover.FooterTest","school.redrover.FooterTest","testVersionFooterOnEachPage","testVersionFooterOnEachPage","Check Jenkins version in the footer on the Home, New Item, People, Build History, Manage Jenkins, My Views pages"
"unknown","Tue Jun 04 05:51:35 GMT 2024","Tue Jun 04 05:51:35 GMT 2024","0","Command line suite","Command line test","school.redrover.MultiConfigurationProjectTest","school.redrover.MultiConfigurationProjectTest","testAddDiscardOldBuildsConfigurationsToProject","testAddDiscardOldBuildsConfigurationsToProject",""
"passed","Tue Jun 04 05:53:17 GMT 2024","Tue Jun 04 05:53:19 GMT 2024","1571","Command line suite","Command line test","school.redrover.FreestyleProjectTest","school.redrover.FreestyleProjectTest","testCheckFreestyleProjectViaBreadcrumb","testCheckFreestyleProjectViaBreadcrumb","Verify via breadcrumbs moving the project to a folder."
"passed","Tue Jun 04 05:56:53 GMT 2024","Tue Jun 04 05:56:53 GMT 2024","329","Command line suite","Command line test","school.redrover.NewItemTest","school.redrover.NewItemTest","TestCheckListOfSuggestedForCreationProjectTypes","TestCheckListOfSuggestedForCreationProjectTypes",""
"passed","Tue Jun 04 06:01:44 GMT 2024","Tue Jun 04 06:01:48 GMT 2024","3703","Command line suite","Command line test","school.redrover.PipelineTest","school.redrover.PipelineTest","testDeleteViaBreadcrumbs","testDeleteViaBreadcrumbs",""
"passed","Tue Jun 04 05:57:26 GMT 2024","Tue Jun 04 05:57:26 GMT 2024","348","Command line suite","Command line test","school.redrover.NewItemTest","school.redrover.NewItemTest","testInvalidValuesForProjectNameInput","testInvalidValuesForProjectNameInput",""
"passed","Tue Jun 04 05:58:43 GMT 2024","Tue Jun 04 05:58:43 GMT 2024","188","Command line suite","Command line test","school.redrover.DashboardTest","school.redrover.DashboardTest","testDashboardMenu","testDashboardMenu",""
"passed","Tue Jun 04 06:04:40 GMT 2024","Tue Jun 04 06:04:41 GMT 2024","824","Command line suite","Command line test","school.redrover.PipelineTest","school.redrover.PipelineTest","testVerifyConfigurationPageHaveTooltips","testVerifyConfigurationPageHaveTooltips",""
"passed","Tue Jun 04 05:55:26 GMT 2024","Tue Jun 04 05:55:28 GMT 2024","1432","Command line suite","Command line test","school.redrover.UserTest","school.redrover.UserTest","testRedirectToUserPage","testRedirectToUserPage",""
"passed","Tue Jun 04 05:52:51 GMT 2024","Tue Jun 04 05:52:52 GMT 2024","1007","Command line suite","Command line test","school.redrover.FreestyleProjectTest","school.redrover.FreestyleProjectTest","testCreateProjectWithLongestName","testCreateProjectWithLongestName","Check error for project creation with a name exceeding character limit."
"passed","Tue Jun 04 05:55:04 GMT 2024","Tue Jun 04 05:55:05 GMT 2024","1082","Command line suite","Command line test","school.redrover.UserTest","school.redrover.UserTest","testErrorMessageForEmptyField","testErrorMessageForEmptyField",""
"passed","Tue Jun 04 05:58:46 GMT 2024","Tue Jun 04 05:58:47 GMT 2024","1101","Command line suite","Command line test","school.redrover.DashboardTest","school.redrover.DashboardTest","testPipelineChevronMenu","testPipelineChevronMenu",""
"passed","Tue Jun 04 06:02:45 GMT 2024","Tue Jun 04 06:02:47 GMT 2024","2317","Command line suite","Command line test","school.redrover.PipelineTest","school.redrover.PipelineTest","testSetQuietPeriodBuildTriggersMoreThanZero","testSetQuietPeriodBuildTriggersMoreThanZero",""
