"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Folder","","US_04.000  Create Folder","0","0","7","0","0"
"","","","0","0","0","0","5"
"Folder","","04.003  Delete Folder","0","0","1","0","0"
"Folder","","US_04.004  Add and edit description of the folder ","0","0","2","0","0"
"New item","","US_00.000 Create New item","0","0","25","0","0"
"Multi-configuration project","","US_03.006  Edit configuration","0","0","1","0","0"
"Multi-configuration project","","US_03.001  Add/edit description","0","0","4","0","0"
"Folder","","US_04.005  Create a job inside folder","0","0","4","0","0"
"Multi-configuration project","","US_03.005  Move project to Folder","0","0","2","0","0"
"New item","","US_00.007 Create a new item from other existing","0","0","10","0","0"
"Folder","","US_04.002  Move Folder to Folder","0","0","2","0","0"
"Folder","","US_04.001 Rename Folder","0","0","3","0","0"
"Multi-configuration project","","US_03.002  Enable/Disable project","0","0","5","0","0"
"Multi-configuration project","","US_03.004  Rename project","0","0","2","0","0"
"Folder","","","0","0","1","0","0"
"Pipeline","","","0","0","0","0","2"
"Multi-configuration project","","US_03.000  Create project ","0","0","1","0","0"
"Multi-configuration project","","US_03.003  Delete project ","0","0","2","0","0"
"Multi-configuration project","","US_03.000  Create project","0","0","3","0","0"
"Folder","","US_04.003  Delete Folder","0","0","1","0","0"
"Multi-configuration project","","US_03.003  Delete project","0","0","1","0","0"
